 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: zsredfgv - sdfgsdzg (17-01-2005)
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 1105962776 
  Concrete cover: xc = N(50.000,7.000)
  Diffusion Coefficient: Dcoef = N(3.000,0.500)
  Critical Chloride Concenrtration: Ccr = N(0.150,0.030)
  Surface Chloride Concenrtration: Cs = N(1.200,0.200)
  Age exponent: n = N(0.400,0.010)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
     71   0            1.20986409e+001    4.61836208e+001    3.40849799e+001 
     72   0            5.66774037e+000    3.97637700e+001    3.40960297e+001 
     73   0            6.11301256e+000    4.64223542e+001    4.03093416e+001 
     74   0            7.79064763e+000    4.99634364e+001    4.21727888e+001 
     75   0            2.69135274e+001    6.21922268e+001    3.52786994e+001 
     76   0            1.74260278e+001    5.50775134e+001    3.76514856e+001 
     77   0            1.00001551e+001    4.91449480e+001    3.91447929e+001 
     78   0            5.70736285e+000    4.44664642e+001    3.87591013e+001 
     79   0            1.63618487e+001    6.06964108e+001    4.43345620e+001 
     80   0            1.28126389e+001    4.50221972e+001    3.22095583e+001 
     81   0            7.70936175e+000    3.57270729e+001    2.80177112e+001 
     82   0            1.31730946e+001    4.86463492e+001    3.54732546e+001 
     83   0            1.24186660e+001    4.52832606e+001    3.28645946e+001 
     84   0            2.79016202e+001    6.29444202e+001    3.50428001e+001 
     85   1           -4.32827231e+000    3.76308947e+001    4.19591670e+001 
     86   0            1.71038438e+001    5.74577188e+001    4.03538750e+001 
     87   0            1.76568648e+001    5.63317579e+001    3.86748931e+001 
     88   0            1.58314343e+001    5.33285059e+001    3.74970716e+001 
     89   1           -4.43138952e-002    3.95627526e+001    3.96070665e+001 
     90   0            1.38736954e+001    4.64188812e+001    3.25451858e+001 
     91   0            1.43285275e+001    5.26142980e+001    3.82857706e+001 
     92   0            1.20561963e+000    4.26972151e+001    4.14915954e+001 
     93   0            2.22463329e+001    6.06547572e+001    3.84084243e+001 
     94   0            1.85423018e+001    5.33983287e+001    3.48560269e+001 
     95   0            9.04397572e+000    4.97412575e+001    4.06972818e+001 
     96   0            2.38793988e+001    5.67990568e+001    3.29196580e+001 
     97   0            2.03298531e+001    5.82762329e+001    3.79463799e+001 
     98   0            2.77136774e+001    6.53087347e+001    3.75950573e+001 
     99   0            1.28581932e+001    5.07425751e+001    3.78843819e+001 
    100   0            9.69501399e+000    4.61305062e+001    3.64354922e+001 
    101   0            5.35176469e+000    4.69073310e+001    4.15555663e+001 
    102   0            1.20077196e+001    4.91231477e+001    3.71154281e+001 
    103   0            1.82655821e+001    5.57570797e+001    3.74914976e+001 
    104   0            1.02715244e+001    4.74691101e+001    3.71975856e+001 
    105   0            9.19640426e-001    4.08875529e+001    3.99679125e+001 
