 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: example5
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
     70   1           -1.20146469e+001    4.68859649e+001    5.89006118e+001 
     71   1           -5.22576285e-001    5.46242864e+001    5.51468627e+001 
     72   0            7.75194524e+000    4.94243030e+001    4.16723578e+001 
     73   0            5.58004248e-001    5.74711156e+001    5.69131113e+001 
     74   1           -8.87841459e+000    5.08851520e+001    5.97635665e+001 
     75   0            1.40038303e+001    5.86464279e+001    4.46425976e+001 
     76   1           -2.30814775e+001    5.32898352e+001    7.63713127e+001 
     77   0            1.02757468e+001    5.35477019e+001    4.32719551e+001 
     78   1           -1.44581494e+001    4.94050694e+001    6.38632188e+001 
     79   1           -1.81664626e+001    5.34216366e+001    7.15880991e+001 
     80   0            4.82083078e-001    6.05511570e+001    6.00690739e+001 
     81   1           -7.58500383e+000    5.61006908e+001    6.36856946e+001 
     82   1           -2.61238425e+001    6.63017317e+001    9.24255742e+001 
     83   1           -2.33572980e+000    5.54902021e+001    5.78259319e+001 
     84   1           -2.74484844e+000    6.02005955e+001    6.29454440e+001 
     85   0            5.85303111e+000    5.94328896e+001    5.35798584e+001 
     86   1           -3.05014838e+001    5.79806468e+001    8.84821307e+001 
     87   1           -1.75976133e+001    5.51334614e+001    7.27310747e+001 
     88   1           -4.93741866e+000    6.01213383e+001    6.50587570e+001 
     89   0            6.58519530e+000    6.38892914e+001    5.73040961e+001 
     90   1           -3.85569403e+000    5.37335899e+001    5.75892839e+001 
     91   1           -1.63435246e+001    5.25917172e+001    6.89352418e+001 
     92   1           -2.16032659e+001    6.90870489e+001    9.06903148e+001 
     93   1           -1.83018461e+001    5.98717079e+001    7.81735539e+001 
     94   1           -8.14959087e+000    5.07523015e+001    5.89018923e+001 
     95   1           -1.03556448e+001    5.23770229e+001    6.27326677e+001 
     96   1           -7.98817486e+000    5.11904359e+001    5.91786107e+001 
     97   1           -1.45898568e+001    5.84689820e+001    7.30588388e+001 
     98   1           -1.99904167e+001    5.01595094e+001    7.01499261e+001 
     99   0            8.24742550e+000    5.64782723e+001    4.82308468e+001 
    100   1           -2.50717181e+001    5.78956231e+001    8.29673412e+001 
    101   1           -1.70909515e+001    4.83375762e+001    6.54285278e+001 
    102   1           -1.63476027e+001    5.06015952e+001    6.69491979e+001 
    103   1           -4.85407720e+000    5.11114003e+001    5.59654775e+001 
    104   1           -2.51695727e+001    5.32028548e+001    7.83724276e+001 
    105   1           -3.28909371e+000    5.34268022e+001    5.67158959e+001 
    106   1           -2.33306746e-001    5.19630637e+001    5.21963705e+001 
    107   1           -2.43814743e+001    4.84426163e+001    7.28240906e+001 
    108   0            1.36353248e+001    5.40081820e+001    4.03728572e+001 
    109   1           -7.90394882e+000    5.74148245e+001    6.53187733e+001 
    110   1           -6.51191946e+000    5.22345391e+001    5.87464586e+001 
    111   1           -3.76763000e+000    5.07210039e+001    5.44886339e+001 
    112   0            1.34959902e+001    6.20008212e+001    4.85048310e+001 
    113   1           -1.36746158e+001    5.47147686e+001    6.83893844e+001 
    114   1           -5.21655309e+001    6.12575587e+001    1.13423090e+002 
    115   1           -3.64404281e+001    5.27317480e+001    8.91721761e+001 
    116   1           -3.77471770e+001    5.78715383e+001    9.56187153e+001 
    117   0            5.40377680e+000    5.32961215e+001    4.78923446e+001 
    118   1           -1.83788980e+001    5.65458180e+001    7.49247160e+001 
    119   1           -1.00196654e+001    5.66146818e+001    6.66343472e+001 
    120   1           -3.15320607e+001    5.17058928e+001    8.32379535e+001 
    121   1           -7.28933792e+000    5.17554797e+001    5.90448176e+001 
