 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 (20040305)
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 1269965289 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
     70   0            6.24623321e+000    5.32934893e+001    4.70472561e+001 
     71   0            8.41316858e+000    6.89090702e+001    6.04959016e+001 
     72   1           -1.48287923e+001    5.98316101e+001    7.46604023e+001 
     73   1           -3.61784820e-001    5.55505658e+001    5.59123506e+001 
     74   1           -1.60022001e+000    6.10948154e+001    6.26950354e+001 
     75   1           -5.03960858e+000    6.12430692e+001    6.62826778e+001 
     76   0            2.22756967e+001    6.53316048e+001    4.30559080e+001 
     77   1           -8.22733833e+000    5.06138369e+001    5.88411753e+001 
     78   1           -4.77432154e+000    5.59737344e+001    6.07480560e+001 
     79   1           -8.59741986e+000    5.65569498e+001    6.51543697e+001 
     80   1           -1.61809270e+001    5.45181031e+001    7.06990301e+001 
     81   0            8.13218485e+000    5.32828501e+001    4.51506652e+001 
     82   1           -1.55249295e+001    5.02366938e+001    6.57616233e+001 
     83   1           -1.57887462e+001    6.16785429e+001    7.74672891e+001 
     84   1           -2.23956361e+000    5.87651915e+001    6.10047551e+001 
     85   0            1.00067379e+001    5.97655676e+001    4.97588298e+001 
     86   0            7.62938474e+000    5.47251185e+001    4.70957337e+001 
     87   0            1.59968988e+001    6.16636481e+001    4.56667493e+001 
     88   0            1.55972439e+001    6.00501943e+001    4.44529504e+001 
     89   1           -1.68745732e+001    5.82155434e+001    7.50901166e+001 
     90   1           -1.95157010e+001    5.32354744e+001    7.27511754e+001 
     91   1           -2.22227296e+001    5.70058470e+001    7.92285766e+001 
     92   1           -3.20629927e+001    5.74082040e+001    8.94711967e+001 
     93   1           -9.46895276e+000    6.14694209e+001    7.09383737e+001 
     94   1           -3.42496768e+001    5.94304800e+001    9.36801567e+001 
     95   1           -1.57101663e+001    5.90373986e+001    7.47475650e+001 
     96   0            1.13680202e+001    6.25023741e+001    5.11343539e+001 
     97   1           -1.79472083e+001    4.49350503e+001    6.28822586e+001 
     98   1           -4.23949241e+000    5.43430564e+001    5.85825488e+001 
     99   1           -1.47536285e+001    5.39760362e+001    6.87296647e+001 
    100   1           -7.16519900e+000    5.88508234e+001    6.60160224e+001 
    101   1           -1.38135392e+001    5.21291672e+001    6.59427064e+001 
    102   1           -1.09389810e+001    5.93443871e+001    7.02833681e+001 
    103   1           -4.74249446e+001    5.69714792e+001    1.04396424e+002 
    104   1           -1.78837698e+001    6.24353460e+001    8.03191158e+001 
    105   1           -2.59126881e+001    4.00871720e+001    6.59998601e+001 
    106   1           -2.33813301e+001    5.01556832e+001    7.35370134e+001 
    107   1           -9.92264778e+000    5.40848616e+001    6.40075093e+001 
    108   1           -2.68354588e+001    5.23542187e+001    7.91896776e+001 
    109   1           -6.68329539e+001    5.45905040e+001    1.21423458e+002 
    110   1           -5.03529685e-001    5.84509793e+001    5.89545089e+001 
    111   0            1.75283088e+000    5.94481205e+001    5.76952897e+001 
    112   1           -3.53114783e+001    5.13001523e+001    8.66116305e+001 
    113   1           -2.68903711e+001    5.21401870e+001    7.90305581e+001 
    114   0            1.00208140e+001    5.85888600e+001    4.85680459e+001 
    115   0            7.03936970e-001    5.07738178e+001    5.00698809e+001 
    116   1           -2.69554718e+001    4.39952660e+001    7.09507378e+001 
    117   1           -2.28486808e+001    5.52999869e+001    7.81486677e+001 
    118   1           -1.18750859e+001    6.35013917e+001    7.53764776e+001 
    119   1           -9.48981670e+000    5.86946734e+001    6.81844901e+001 
    120   1           -9.52862006e+000    6.37939045e+001    7.33225246e+001 
    121   1           -1.30866525e+001    4.62605558e+001    5.93472082e+001 
    122   1           -7.64541359e+000    5.31970876e+001    6.08425012e+001 
    123   1           -8.79502055e+000    5.81796611e+001    6.69746816e+001 
    124   1           -6.46510123e+000    5.40918052e+001    6.05569064e+001 
    125   1           -2.45978419e+000    5.76279779e+001    6.00877621e+001 
    126   0            4.55017061e+000    5.90702563e+001    5.45200857e+001 
    127   1           -2.37525572e+001    6.02694294e+001    8.40219866e+001 
    128   1           -7.50557616e+000    5.76641976e+001    6.51697738e+001 
    129   1           -6.63731062e+000    6.11631952e+001    6.78005058e+001 
    130   1           -4.55146380e+001    5.78209945e+001    1.03335632e+002 
    131   1           -3.72362414e+001    5.01501548e+001    8.73863962e+001 
    132   1           -2.38809494e+000    5.86400280e+001    6.10281229e+001 
    133   1           -1.23377301e+000    5.29195447e+001    5.41533177e+001 
    134   1           -1.60153935e+001    4.94115832e+001    6.54269767e+001 
    135   1           -2.93036354e+001    4.86064073e+001    7.79100428e+001 
    136   0            1.58104087e+001    6.28080826e+001    4.69976739e+001 
    137   1           -1.17951154e+001    6.56623221e+001    7.74574375e+001 
    138   1           -4.41712489e+001    5.77114762e+001    1.01882725e+002 
    139   1           -4.49958277e+001    5.16989872e+001    9.66948148e+001 
    140   0            6.47825642e+000    5.48354272e+001    4.83571708e+001 
    141   1           -5.54999903e-001    5.59898266e+001    5.65448265e+001 
    142   1           -1.46173983e+001    5.46619669e+001    6.92793651e+001 
    143   1           -1.80145553e+001    5.81861818e+001    7.62007370e+001 
    144   1           -4.26098738e+001    4.80834715e+001    9.06933454e+001 
    145   1           -2.35665647e+001    6.16855391e+001    8.52521038e+001 
    146   0            1.25197419e+001    6.45280157e+001    5.20082737e+001 
    147   1           -4.29284409e+001    5.28434802e+001    9.57719211e+001 
    148   1           -1.47125942e+000    5.32327234e+001    5.47039828e+001 
    149   1           -6.14322761e-001    5.52201223e+001    5.58344450e+001 
    150   0            5.31484846e+000    6.11338985e+001    5.58190500e+001 
    151   1           -6.41372160e-001    5.40181931e+001    5.46595653e+001 
    152   1           -7.65887131e-001    6.23264726e+001    6.30923597e+001 
    153   1           -2.57289925e+001    5.65082346e+001    8.22372271e+001 
    154   1           -2.14320612e+001    5.59064396e+001    7.73385009e+001 
    155   1           -9.05631994e+000    4.97031787e+001    5.87594987e+001 
    156   1           -1.03339202e+001    5.69011731e+001    6.72350933e+001 
    157   1           -2.31763233e+001    5.86928311e+001    8.18691544e+001 
    158   1           -1.25556488e+001    4.73082846e+001    5.98639334e+001 
    159   0            5.48013706e+000    5.91474745e+001    5.36673375e+001 
    160   1           -4.48217708e+000    5.92080796e+001    6.36902567e+001 
    161   1           -5.68241095e+000    6.00012682e+001    6.56836792e+001 
    162   1           -3.57623794e+001    5.25700308e+001    8.83324102e+001 
    163   0            6.54246334e-001    5.93966671e+001    5.87424207e+001 
    164   1           -2.53337207e+001    4.88166607e+001    7.41503814e+001 
    165   1           -6.07351444e-001    6.12695233e+001    6.18768748e+001 
    166   1           -7.60569834e+001    5.58077465e+001    1.31864730e+002 
    167   1           -2.82735980e+001    5.11973486e+001    7.94709466e+001 
    168   1           -9.54402536e+000    5.65320276e+001    6.60760529e+001 
    169   1           -1.07764596e+001    4.86119597e+001    5.93884193e+001 
    170   0            5.14685331e+000    6.13880101e+001    5.62411568e+001 
    171   1           -1.04602058e+001    5.59287753e+001    6.63889811e+001 
    172   1           -8.34599317e+000    5.61515795e+001    6.44975727e+001 
    173   1           -3.79121272e+001    5.22617948e+001    9.01739220e+001 
    174   1           -1.46194793e+001    6.01332644e+001    7.47527437e+001 
    175   1           -3.45217161e+001    5.78959261e+001    9.24176422e+001 
    176   1           -5.77140286e+000    5.63985557e+001    6.21699585e+001 
    177   1           -2.35877607e+001    4.82154156e+001    7.18031763e+001 
    178   0            2.61816863e+000    5.14903048e+001    4.88721362e+001 
    179   1           -2.98782791e+001    5.34459871e+001    8.33242662e+001 
    180   1           -2.22018683e+001    5.46844551e+001    7.68863234e+001 
    181   1           -4.08370309e+001    5.73967572e+001    9.82337881e+001 
    182   1           -1.49269723e+001    4.84162439e+001    6.33432162e+001 
    183   1           -1.19016883e+001    5.63388679e+001    6.82405563e+001 
    184   1           -2.79503228e+001    5.22916383e+001    8.02419612e+001 
    185   1           -1.38901207e+001    5.93915397e+001    7.32816604e+001 
    186   1           -2.50698281e+001    5.13649540e+001    7.64347821e+001 
    187   1           -6.68922036e+000    5.08225321e+001    5.75117525e+001 
    188   1           -1.47508678e+001    5.39919673e+001    6.87428351e+001 
    189   1           -2.16996714e+001    5.42272283e+001    7.59268997e+001 
    190   1           -2.53374200e+001    5.29743514e+001    7.83117714e+001 
    191   1           -7.69652087e+000    5.21046589e+001    5.98011798e+001 
    192   1           -3.52857956e+001    5.21507042e+001    8.74364998e+001 
    193   1           -1.96464155e+001    5.87153946e+001    7.83618100e+001 
    194   1           -1.64450946e+001    5.65997656e+001    7.30448603e+001 
    195   1           -1.15724176e+001    5.86233105e+001    7.01957281e+001 
    196   1           -7.22351404e+000    5.18683945e+001    5.90919085e+001 
    197   0            1.73735261e+001    5.09218393e+001    3.35483132e+001 
    198   1           -1.19876643e+001    6.11283621e+001    7.31160264e+001 
    199   1           -1.60764391e+001    5.24852081e+001    6.85616472e+001 
    200   1           -1.42616169e+001    5.09731325e+001    6.52347494e+001 
    201   1           -8.17816709e+000    6.35880767e+001    7.17662438e+001 
    202   1           -2.28833509e+001    6.38698620e+001    8.67532129e+001 
    203   1           -9.68016229e+000    5.30643974e+001    6.27445597e+001 
    204   1           -1.47203369e+001    5.44694226e+001    6.91897596e+001 
    205   1           -3.34798413e+001    4.85409697e+001    8.20208111e+001 
    206   1           -1.01697692e+001    5.55223045e+001    6.56920737e+001 
    207   1           -9.50831845e+000    5.26423428e+001    6.21506613e+001 
    208   1           -4.09318988e+000    6.22857545e+001    6.63789444e+001 
    209   0            5.32060074e+000    5.38233126e+001    4.85027119e+001 
    210   1           -1.46937762e-001    5.99219431e+001    6.00688808e+001 
    211   0            3.72676322e+000    6.13620841e+001    5.76353209e+001 
    212   1           -3.60567291e+001    5.23073991e+001    8.83641282e+001 
    213   1           -3.76523335e+001    5.57978291e+001    9.34501626e+001 
    214   1           -1.31346927e+001    6.14265244e+001    7.45612171e+001 
    215   1           -3.72885071e+001    4.25881383e+001    7.98766453e+001 
    216   1           -1.56381384e+001    5.25985501e+001    6.82366885e+001 
