 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,75.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  6.1095  0.0000 
  5  0.3500  5.9057176e-004  2.9550  0.1563 
  10  6.6200  2.4863137e-003  1.5667  5.8596 
  15  19.4100  3.9550625e-003  0.8302  20.3200 
  20  33.8500  4.7319948e-003  0.3547  36.1399 
  25  46.4300  4.9872388e-003  0.0154  49.3866 
  30  56.9700  4.9511808e-003  -0.2422  59.5685 
  35  64.9300  4.7718918e-003  -0.4461  67.2238 
  40  71.7300  4.5031179e-003  -0.6126  72.9916 
  45  76.8200  4.2198194e-003  -0.7517  77.3871 
  50  80.7300  3.9441946e-003  -0.8701  80.7866 
  55  84.0900  3.6576931e-003  -0.9724  83.4564 
  60  86.7100  3.3946663e-003  -1.0618  85.5847 
  65  88.5200  3.1878043e-003  -1.1409  87.3052 
  70  90.2300  2.9690859e-003  -1.2115  88.7142 
  75  91.5800  2.7768752e-003  -1.2748  89.8818 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   1           -2.39336859e+001    4.62728198e+001    7.02065057e+001 
      2   1           -3.20270611e+001    5.21320372e+001    8.41590983e+001 
      3   1           -3.77485291e+000    5.02521696e+001    5.40270225e+001 
      4   1           -2.70769659e+001    5.99040531e+001    8.69810189e+001 
      5   1           -3.03287990e+001    5.65211577e+001    8.68499567e+001 
      6   1           -7.19614957e+000    6.29463233e+001    7.01424728e+001 
      7   1           -7.09099213e+001    5.67631650e+001    1.27673086e+002 
      8   1           -4.21960769e+001    5.93592103e+001    1.01555287e+002 
      9   0            1.19949215e+001    6.33772506e+001    5.13823290e+001 
     10   1           -1.03595747e+001    5.14010267e+001    6.17606013e+001 
     11   0            1.68563049e+001    6.62264153e+001    4.93701105e+001 
     12   1           -1.53828664e+001    5.07520505e+001    6.61349170e+001 
     13   1           -4.81611348e+001    4.65494246e+001    9.47105595e+001 
     14   1           -3.34045113e+001    5.59910745e+001    8.93955858e+001 
     15   0            2.28263705e+000    5.68446706e+001    5.45620336e+001 
     16   1           -2.13881881e+000    5.27873127e+001    5.49261316e+001 
     17   1           -3.88605694e+001    4.68215712e+001    8.56821406e+001 
     18   1           -4.60044199e+001    5.00563379e+001    9.60607578e+001 
     19   1           -6.14024889e+001    5.76803777e+001    1.19082867e+002 
     20   1           -2.23576179e+000    5.44125571e+001    5.66483189e+001 
     21   1           -2.56813889e+001    4.84188569e+001    7.41002458e+001 
     22   1           -4.53168310e+001    5.57442792e+001    1.01061110e+002 
     23   1           -2.67477826e+001    4.69414368e+001    7.36892193e+001 
     24   1           -4.29361127e+000    5.31870944e+001    5.74807057e+001 
     25   1           -2.96503979e+001    5.41846778e+001    8.38350757e+001 
     26   1           -3.53062684e+001    5.29695722e+001    8.82758406e+001 
     27   1           -1.61656469e+001    5.69262515e+001    7.30918984e+001 
     28   0            9.88992072e+000    6.21405583e+001    5.22506376e+001 
     29   1           -1.85513911e+001    5.73381506e+001    7.58895417e+001 
     30   1           -2.26380675e+001    5.71829915e+001    7.98210590e+001 
     31   1           -3.92391346e+001    5.49347049e+001    9.41738395e+001 
     32   1           -2.95767727e+001    6.75218589e+001    9.70986316e+001 
     33   1           -1.64519825e+001    5.94392002e+001    7.58911828e+001 
     34   1           -7.15163213e+001    4.96227663e+001    1.21139088e+002 
     35   1           -1.72889739e+001    4.98856484e+001    6.71746222e+001 
