 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
     70   1           -1.34715606e+001    4.68859649e+001    6.03575255e+001 
     71   1           -1.88664055e+000    5.46242864e+001    5.65109269e+001 
     72   0            6.72117447e+000    4.94243030e+001    4.27031285e+001 
     73   1           -8.49748388e-001    5.74711156e+001    5.83208640e+001 
     74   1           -1.03566736e+001    5.08851520e+001    6.12418255e+001 
     75   0            1.28995903e+001    5.86464279e+001    4.57468376e+001 
     76   1           -2.49705311e+001    5.32898352e+001    7.82603662e+001 
     77   0            9.20540980e+000    5.35477019e+001    4.43422921e+001 
     78   1           -1.60378138e+001    4.94050694e+001    6.54428832e+001 
     79   1           -1.99372028e+001    5.34216366e+001    7.33588393e+001 
     80   1           -1.00373267e+000    6.05511570e+001    6.15548897e+001 
     81   1           -9.16027712e+000    5.61006908e+001    6.52609679e+001 
     82   1           -2.84100002e+001    6.63017317e+001    9.47117319e+001 
     83   1           -3.76606117e+000    5.54902021e+001    5.92562632e+001 
     84   1           -4.30181155e+000    6.02005955e+001    6.45024071e+001 
     85   0            4.52772689e+000    5.94328896e+001    5.49051627e+001 
     86   1           -3.26901000e+001    5.79806468e+001    9.06707468e+001 
     87   1           -1.93966252e+001    5.51334614e+001    7.45300866e+001 
     88   1           -6.54665482e+000    6.01213383e+001    6.66679931e+001 
     89   0            5.16777161e+000    6.38892914e+001    5.87215197e+001 
     90   1           -5.28017187e+000    5.37335899e+001    5.90137618e+001 
     91   1           -1.80486461e+001    5.25917172e+001    7.06403632e+001 
     92   1           -2.38465017e+001    6.90870489e+001    9.29335507e+001 
     93   1           -2.02354783e+001    5.98717079e+001    8.01071862e+001 
     94   1           -9.60653624e+000    5.07523015e+001    6.03588377e+001 
     95   1           -1.19073448e+001    5.23770229e+001    6.42843678e+001 
     96   1           -9.45196490e+000    5.11904359e+001    6.06424008e+001 
