 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,75.000)
  Time of testing: to = D(90.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  6.0105  0.0000 
  7  1.9200  1.3722740e-003  2.1755  1.4796 
  14  19.9400  3.9954930e-003  0.8148  20.7597 
  21  43.1200  4.9524394e-003  0.1098  45.6266 
  28  61.2100  4.8727158e-003  -0.3388  63.2630 
  35  73.2500  4.4265534e-003  -0.6557  74.3976 
  42  81.5000  3.8829757e-003  -0.8941  81.4369 
  49  87.0000  3.3630343e-003  -1.0816  86.0276 
  56  90.4200  2.9431677e-003  -1.2336  89.1331 
  63  92.6800  2.6046451e-003  -1.3600  91.3089 
  70  94.4800  2.2837023e-003  -1.4671  92.8822 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   1           -2.79069305e+001    4.62728198e+001    7.41797503e+001 
      2   1           -3.20067269e+001    5.21320372e+001    8.41387641e+001 
      3   1           -8.67095016e+000    5.02521696e+001    5.89231198e+001 
      4   1           -2.73825938e+001    5.99040531e+001    8.72866469e+001 
      5   1           -2.87399292e+001    5.65211577e+001    8.52610869e+001 
      6   1           -9.75476641e+000    6.29463233e+001    7.27010897e+001 
      7   1           -6.72035704e+001    5.67631650e+001    1.23966735e+002 
      8   1           -4.09706802e+001    5.93592103e+001    1.00329890e+002 
      9   0            6.80127205e+000    6.33772506e+001    5.65759785e+001 
     10   1           -1.44576697e+001    5.14010267e+001    6.58586964e+001 
     11   0            1.28755842e+001    6.62264153e+001    5.33508312e+001 
     12   1           -1.61580001e+001    5.07520505e+001    6.69100506e+001 
     13   1           -4.86898436e+001    4.65494246e+001    9.52392682e+001 
     14   1           -3.56867024e+001    5.59910745e+001    9.16777769e+001 
     15   1           -5.25759792e-001    5.68446706e+001    5.73704304e+001 
     16   1           -5.76008506e+000    5.27873127e+001    5.85473978e+001 
     17   1           -3.68803836e+001    4.68215712e+001    8.37019549e+001 
     18   1           -4.60856725e+001    5.00563379e+001    9.61420104e+001 
     19   1           -6.11601151e+001    5.76803777e+001    1.18840493e+002 
     20   1           -6.97412513e+000    5.44125571e+001    6.13866822e+001 
     21   1           -2.81959402e+001    4.84188569e+001    7.66147972e+001 
     22   1           -4.68875030e+001    5.57442792e+001    1.02631782e+002 
     23   1           -2.93737301e+001    4.69414368e+001    7.63151669e+001 
     24   1           -7.79538209e+000    5.31870944e+001    6.09824765e+001 
     25   1           -3.21145771e+001    5.41846778e+001    8.62992549e+001 
     26   1           -3.48695386e+001    5.29695722e+001    8.78391108e+001 
     27   1           -1.79645280e+001    5.69262515e+001    7.48907795e+001 
     28   0            6.74834539e+000    6.21405583e+001    5.53922129e+001 
     29   1           -2.00490217e+001    5.73381506e+001    7.73871723e+001 
     30   1           -2.08388208e+001    5.71829915e+001    7.80218122e+001 
     31   1           -4.11238370e+001    5.49347049e+001    9.60585418e+001 
     32   1           -3.11711955e+001    6.75218589e+001    9.86930544e+001 
     33   1           -1.74200661e+001    5.94392002e+001    7.68592663e+001 
     34   1           -6.39568466e+001    4.96227663e+001    1.13579613e+002 
     35   1           -1.92695151e+001    4.98856484e+001    6.91551635e+001 
     36   1           -1.41292293e+001    5.64994199e+001    7.06286492e+001 
     37   1           -8.10708003e+000    5.65437846e+001    6.46508646e+001 
     38   1           -1.86572913e+001    4.94529363e+001    6.81102275e+001 
     39   1           -1.60113027e+001    5.82442925e+001    7.42555952e+001 
