0;0.22
0.01;0.45
0.02;0.67
0.03;0.9
0.04;1.12
0.04;1.34
0.05;1.34
0.06;1.57
0.08;2.24
0.07;2.47
0.09;2.47
0.1;2.24
0.1;2.47
0.11;2.47
0.11;2.69
0.13;2.92
0.15;3.36
0.14;3.59
0.15;3.81
0.17;3.81
0.18;3.59
0.18;3.81
0.19;4.26
0.21;4.49
0.21;4.71
0.21;4.49
0.22;4.71
0.24;4.71
0.27;4.26
0.26;4.26
0.27;4.26
0.29;4.26
0.29;4.71
0.29;4.93
0.3;4.93
0.32;4.71
0.32;4.71
0.34;4.71
0.37;4.93
0.39;4.71
0.4;5.16
0.41;5.38
0.44;5.38
0.45;5.38
0.46;4.93
0.48;4.93
0.5;4.93
0.49;5.38
0.5;5.16
0.52;5.83
0.54;5.83
0.54;5.61
0.56;5.38
0.58;4.93
0.57;5.16
0.59;5.16
0.6;5.61
0.61;6.06
0.63;6.28
0.65;6.51
0.66;6.06
0.67;6.06
0.68;6.28
0.71;6.28
0.71;6.51
0.72;6.95
0.74;6.95
0.76;7.18
0.76;6.73
0.78;6.95
0.8;6.95
0.8;7.18
0.82;6.95
0.84;7.63
0.84;7.63
0.85;7.63
0.87;7.63
0.86;7.18
0.87;7.18
0.88;7.18
0.9;7.18
0.9;7.4
0.91;8.08
0.93;8.3
0.93;8.75
0.94;8.08
0.95;8.08
0.98;7.85
0.98;7.85
1;8.08
1.01;8.52
1.02;8.52
1.01;8.52
1.03;8.52
1.03;8.08
1.04;8.3
1.06;8.08
1.08;8.52
1.09;8.75
1.11;8.97
1.13;8.97
1.13;8.52
1.14;8.52
1.16;8.52
1.17;8.75
1.17;8.75
1.2;8.97
1.21;9.42
1.21;9.42
1.23;8.97
1.25;8.97
1.25;8.75
1.27;8.97
1.29;9.2
1.28;9.2
1.29;10.1
1.33;10.1
1.34;10.32
1.35;9.65
1.38;9.87
1.39;9.87
1.4;10.1
1.42;10.32
1.42;10.77
1.42;10.77
1.45;10.77
1.47;10.99
1.46;10.54
1.48;10.77
1.5;10.77
1.5;10.77
1.51;11.44
1.53;11.44
1.54;11.44
1.55;11.67
1.57;11.22
1.59;11.22
1.58;11.22
1.59;11.22
1.61;11.44
1.62;11.89
1.64;12.11
1.65;11.89
1.66;11.67
1.66;11.44
1.69;11.67
1.71;11.67
1.72;11.89
1.74;12.11
1.74;12.11
1.74;12.56
1.76;11.89
1.77;11.89
1.77;12.11
1.81;12.34
1.8;12.11
1.8;12.79
1.83;13.24
1.83;13.24
1.84;12.79
1.85;12.79
1.86;13.01
1.87;13.01
1.89;13.24
1.89;13.46
1.89;13.69
1.91;13.91
1.92;13.91
1.93;13.46
1.95;13.69
1.96;13.69
1.98;13.69
1.99;13.91
2.01;14.36
2.02;14.36
2.02;14.58
2.04;13.91
2.06;13.69
2.06;13.91
2.07;14.13
2.08;14.58
2.09;14.58
2.11;14.58
2.12;14.58
2.13;14.13
2.15;13.91
2.16;14.13
2.17;14.13
2.18;14.13
2.18;14.58
2.21;14.58
2.21;14.81
2.23;14.58
2.24;14.58
2.24;14.36
2.27;14.58
2.27;14.58
2.28;15.03
2.31;15.26
2.31;15.26
2.32;15.26
2.33;15.03
2.34;14.81
2.35;14.81
2.35;15.03
2.38;15.26
2.39;15.7
2.4;15.48
2.42;15.93
2.42;15.26
2.44;15.48
2.45;15.7
2.46;15.48
2.48;15.7
2.48;16.38
2.5;16.38
2.51;16.15
2.5;15.93
2.53;15.93
2.52;15.93
